Difficulty,Incorrect,Correct,Ratio
1,"['7-3.png', '7-3.png', '6-3.png', '6-3.png', '6-5.png', '6-7.png', '6-6.png', '6-1.png', '6-9.png', '6-5.png']","['40-7.png', '39-3.png', '36-4.png', '34-10.png', '33-2.png', '40-6.png', '37-7.png', '35-4.png', '38-6.png', '39-4.png']","[5.714285714285714, 5.571428571428571, 6.0, 5.666666666666667, 5.5, 6.666666666666667, 6.166666666666667, 5.833333333333333, 6.333333333333333, 6.5]"
2,"['6-2.png', '7-4.png', '7-5.png', '8-7.png', '7-8.png', '8-8.png', '8-1.png', '6-4.png', '8-5.png', '6-6.png', '7-5.png', '6-2.png', '6-5.png', '7-4.png', '7-6.png']","['29-5.png', '34-1.png', '36-7.png', '39-5.png', '37-8.png', '40-5.png', '38-6.png', '32-7.png', '37-5.png', '30-10.png', '33-10.png', '28-2.png', '31-8.png', '35-5.png', '38-5.png']","[4.833333333333333, 4.857142857142857, 5.142857142857143, 4.875, 5.285714285714286, 5.0, 4.75, 5.333333333333333, 4.625, 5.0, 4.714285714285714, 4.666666666666667, 5.166666666666667, 5.0, 5.428571428571429]"
3,"['8-6.png', '9-1.png', '8-5.png', '7-1.png', '7-5.png', '6-10.png', '8-6.png', '6-5.png', '9-4.png', '9-10.png', '6-7.png', '9-6.png', '7-8.png', '8-1.png', '7-6.png']","['34-4.png', '37-10.png', '36-3.png', '32-9.png', '30-6.png', '26-10.png', '33-1.png', '27-4.png', '40-6.png', '38-3.png', '25-2.png', '39-9.png', '29-5.png', '35-3.png', '31-5.png']","[4.25, 4.111111111111111, 4.5, 4.571428571428571, 4.285714285714286, 4.333333333333333, 4.125, 4.5, 4.444444444444445, 4.222222222222222, 4.166666666666667, 4.333333333333333, 4.142857142857143, 4.375, 4.428571428571429]"
4,"['9-10.png', '6-1.png', '10-8.png', '10-8.png', '6-8.png', '7-9.png', '8-7.png', '8-9.png', '8-3.png', '9-8.png', '10-1.png', '9-5.png', '7-8.png', '7-7.png', '10-6.png']","['36-2.png', '24-10.png', '39-1.png', '40-7.png', '23-1.png', '27-6.png', '31-6.png', '32-8.png', '30-6.png', '35-6.png', '38-6.png', '34-9.png', '28-9.png', '26-9.png', '37-8.png']","[4.0, 4.0, 3.9, 4.0, 3.8333333333333335, 3.857142857142857, 3.875, 4.0, 3.75, 3.888888888888889, 3.8, 3.7777777777777777, 4.0, 3.7142857142857144, 3.7]"
5,"['7-7.png', '6-3.png', '10-5.png', '9-5.png', '11-5.png', '10-10.png', '9-5.png', '10-2.png', '11-7.png', '7-9.png', '6-7.png', '11-8.png', '8-8.png', '9-2.png', '8-7.png']","['24-10.png', '22-10.png', '36-3.png', '31-2.png', '38-5.png', '34-2.png', '33-1.png', '35-3.png', '40-2.png', '25-9.png', '21-8.png', '39-9.png', '28-5.png', '32-8.png', '29-5.png']","[3.4285714285714284, 3.6666666666666665, 3.6, 3.4444444444444446, 3.4545454545454546, 3.4, 3.6666666666666665, 3.5, 3.6363636363636362, 3.5714285714285716, 3.5, 3.5454545454545454, 3.5, 3.5555555555555554, 3.625]"
6,"['11-9.png', '7-7.png', '10-2.png', '12-8.png', '6-6.png', '9-9.png', '11-6.png', '11-1.png', '12-7.png', '6-3.png', '8-3.png', '9-7.png', '12-9.png', '8-9.png', '10-4.png']","['35-7.png', '23-3.png', '33-7.png', '39-4.png', '20-5.png', '29-7.png', '37-10.png', '36-5.png', '40-2.png', '19-10.png', '26-7.png', '30-5.png', '38-10.png', '27-4.png', '32-9.png']","[3.1818181818181817, 3.2857142857142856, 3.3, 3.25, 3.3333333333333335, 3.2222222222222223, 3.3636363636363638, 3.272727272727273, 3.3333333333333335, 3.1666666666666665, 3.25, 3.3333333333333335, 3.1666666666666665, 3.375, 3.2]"
7,"['12-6.png', '11-8.png', '10-1.png', '13-3.png', '12-1.png', '13-2.png', '6-6.png', '7-10.png', '8-10.png', '9-9.png', '8-2.png', '7-2.png', '9-10.png', '10-5.png', '11-5.png']","['36-5.png', '33-9.png', '31-6.png', '40-4.png', '37-2.png', '39-3.png', '18-3.png', '22-5.png', '25-5.png', '28-7.png', '24-4.png', '21-10.png', '27-2.png', '30-1.png', '34-6.png']","[3.0, 3.0, 3.1, 3.076923076923077, 3.0833333333333335, 3.0, 3.0, 3.142857142857143, 3.125, 3.111111111111111, 3.0, 3.0, 3.0, 3.0, 3.090909090909091]"
8,"['11-1.png', '13-4.png', '6-3.png', '12-9.png', '11-1.png', '7-3.png', '14-6.png', '9-1.png', '10-1.png', '10-10.png', '13-6.png', '9-2.png', '14-3.png', '8-10.png', '12-10.png']","['32-7.png', '37-9.png', '17-10.png', '35-10.png', '31-5.png', '20-3.png', '40-9.png', '26-5.png', '29-6.png', '28-2.png', '38-2.png', '25-3.png', '39-9.png', '23-9.png', '34-1.png']","[2.909090909090909, 2.8461538461538463, 2.8333333333333335, 2.9166666666666665, 2.8181818181818183, 2.857142857142857, 2.857142857142857, 2.888888888888889, 2.9, 2.8, 2.923076923076923, 2.7777777777777777, 2.7857142857142856, 2.875, 2.8333333333333335]"
9,"['15-8.png', '8-4.png', '11-8.png', '12-1.png', '9-4.png', '6-1.png', '11-9.png', '12-4.png', '7-3.png', '10-8.png', '14-9.png', '8-7.png', '13-4.png', '14-9.png', '13-7.png']","['40-2.png', '22-7.png', '30-6.png', '33-4.png', '24-2.png', '16-9.png', '29-6.png', '32-6.png', '19-10.png', '27-5.png', '37-5.png', '21-6.png', '36-7.png', '38-2.png', '35-7.png']","[2.6666666666666665, 2.75, 2.727272727272727, 2.75, 2.6666666666666665, 2.6666666666666665, 2.6363636363636362, 2.6666666666666665, 2.7142857142857144, 2.7, 2.642857142857143, 2.625, 2.769230769230769, 2.7142857142857144, 2.6923076923076925]"
10,"['14-10.png', '12-5.png', '10-2.png', '7-3.png', '10-8.png', '15-3.png', '12-3.png', '8-3.png', '15-8.png', '11-3.png', '9-5.png', '16-2.png', '14-2.png', '13-9.png', '13-8.png']","['36-1.png', '30-4.png', '25-7.png', '18-7.png', '26-1.png', '39-6.png', '31-4.png', '20-1.png', '38-3.png', '28-6.png', '23-1.png', '40-2.png', '35-6.png', '33-6.png', '34-3.png']","[2.5714285714285716, 2.5, 2.5, 2.5714285714285716, 2.6, 2.6, 2.5833333333333335, 2.5, 2.533333333333333, 2.5454545454545454, 2.5555555555555554, 2.5, 2.5, 2.5384615384615383, 2.6153846153846154]"
11,"['6-5.png', '14-9.png', '9-3.png', '16-6.png', '15-9.png', '8-9.png', '11-1.png', '7-3.png', '11-5.png', '10-2.png', '12-10.png', '15-10.png', '13-8.png', '16-4.png', '13-4.png']","['15-9.png', '34-5.png', '22-8.png', '38-6.png', '37-5.png', '19-9.png', '26-5.png', '17-10.png', '27-10.png', '24-2.png', '29-7.png', '36-6.png', '31-3.png', '39-5.png', '32-1.png']","[2.5, 2.4285714285714284, 2.4444444444444446, 2.375, 2.466666666666667, 2.375, 2.3636363636363638, 2.4285714285714284, 2.4545454545454546, 2.4, 2.4166666666666665, 2.4, 2.3846153846153846, 2.4375, 2.4615384615384617]"
12,"['10-5.png', '17-1.png', '9-1.png', '12-7.png', '16-1.png', '14-1.png', '17-10.png', '6-4.png', '7-7.png', '16-10.png', '13-9.png', '14-6.png', '11-5.png', '15-8.png', '15-6.png']","['23-1.png', '40-5.png', '21-9.png', '28-1.png', '36-10.png', '33-5.png', '39-4.png', '14-7.png', '16-7.png', '37-2.png', '30-7.png', '32-4.png', '25-6.png', '34-4.png', '35-3.png']","[2.3, 2.3529411764705883, 2.3333333333333335, 2.3333333333333335, 2.25, 2.357142857142857, 2.2941176470588234, 2.3333333333333335, 2.2857142857142856, 2.3125, 2.3076923076923075, 2.2857142857142856, 2.272727272727273, 2.2666666666666666, 2.3333333333333335]"
13,"['17-5.png', '15-3.png', '17-6.png', '11-10.png', '12-5.png', '9-7.png', '6-10.png', '13-10.png', '18-4.png', '12-7.png', '18-9.png', '10-2.png', '14-8.png', '16-1.png', '8-1.png']","['38-8.png', '33-1.png', '37-7.png', '24-7.png', '27-6.png', '20-10.png', '13-6.png', '29-2.png', '40-7.png', '26-8.png', '39-8.png', '22-4.png', '31-10.png', '35-1.png', '18-8.png']","[2.235294117647059, 2.2, 2.176470588235294, 2.1818181818181817, 2.25, 2.2222222222222223, 2.1666666666666665, 2.230769230769231, 2.2222222222222223, 2.1666666666666665, 2.1666666666666665, 2.2, 2.2142857142857144, 2.1875, 2.25]"
14,"['16-2.png', '7-9.png', '14-8.png', '17-4.png', '10-3.png', '18-6.png', '14-10.png', '13-9.png', '19-10.png', '12-6.png', '15-4.png', '11-7.png', '13-6.png', '9-4.png', '8-9.png']","['34-4.png', '15-9.png', '30-5.png', '36-2.png', '21-8.png', '38-4.png', '29-1.png', '28-10.png', '40-5.png', '25-9.png', '32-5.png', '23-5.png', '27-1.png', '19-3.png', '17-9.png']","[2.125, 2.142857142857143, 2.142857142857143, 2.1176470588235294, 2.1, 2.111111111111111, 2.0714285714285716, 2.1538461538461537, 2.1052631578947367, 2.0833333333333335, 2.1333333333333333, 2.090909090909091, 2.076923076923077, 2.111111111111111, 2.125]"
15,"['13-8.png', '16-4.png', '17-1.png', '16-1.png', '18-1.png', '15-7.png', '19-2.png', '11-10.png', '18-10.png', '19-9.png', '14-10.png', '15-8.png', '17-1.png', '12-3.png', '20-10.png']","['26-5.png', '32-2.png', '34-7.png', '33-6.png', '37-10.png', '31-10.png', '38-2.png', '22-2.png', '36-9.png', '39-1.png', '28-10.png', '30-2.png', '35-6.png', '24-4.png', '40-5.png']","[2.0, 2.0, 2.0, 2.0625, 2.0555555555555554, 2.066666666666667, 2.0, 2.0, 2.0, 2.0526315789473686, 2.0, 2.0, 2.0588235294117645, 2.0, 2.0]"
16,"['8-6.png', '9-1.png', '6-2.png', '12-8.png', '19-10.png', '16-10.png', '10-1.png', '11-4.png', '7-2.png', '13-9.png', '18-2.png', '20-3.png', '14-5.png', '17-9.png', '15-10.png']","['16-7.png', '18-6.png', '12-2.png', '23-10.png', '37-9.png', '31-8.png', '20-2.png', '21-8.png', '14-4.png', '25-5.png', '35-5.png', '39-4.png', '27-10.png', '33-2.png', '29-8.png']","[2.0, 2.0, 2.0, 1.9166666666666667, 1.9473684210526316, 1.9375, 2.0, 1.9090909090909092, 2.0, 1.9230769230769231, 1.9444444444444444, 1.95, 1.9285714285714286, 1.9411764705882353, 1.9333333333333333]"
17,"['7-3.png', '8-10.png', '19-2.png', '17-5.png', '20-1.png', '21-8.png', '18-6.png', '20-6.png', '13-10.png', '14-1.png', '21-8.png', '16-8.png', '10-10.png', '9-6.png', '15-3.png']","['13-3.png', '15-4.png', '36-2.png', '32-1.png', '37-8.png', '39-6.png', '34-4.png', '38-7.png', '24-6.png', '26-5.png', '40-9.png', '30-9.png', '19-1.png', '17-2.png', '28-10.png']","[1.8571428571428572, 1.875, 1.894736842105263, 1.8823529411764706, 1.85, 1.8571428571428572, 1.8888888888888888, 1.9, 1.8461538461538463, 1.8571428571428572, 1.9047619047619047, 1.875, 1.9, 1.8888888888888888, 1.8666666666666667]"
18,"['22-9.png', '19-2.png', '16-9.png', '10-5.png', '18-6.png', '19-9.png', '18-8.png', '21-6.png', '11-7.png', '20-10.png', '15-9.png', '14-7.png', '6-5.png', '12-10.png', '17-8.png']","['40-7.png', '35-1.png', '29-9.png', '18-2.png', '33-3.png', '34-5.png', '32-2.png', '38-3.png', '20-9.png', '36-7.png', '27-9.png', '25-9.png', '11-8.png', '22-8.png', '31-6.png']","[1.8181818181818181, 1.8421052631578947, 1.8125, 1.8, 1.8333333333333333, 1.7894736842105263, 1.7777777777777777, 1.8095238095238095, 1.8181818181818181, 1.8, 1.8, 1.7857142857142858, 1.8333333333333333, 1.8333333333333333, 1.8235294117647058]"
19,"['11-4.png', '9-9.png', '22-7.png', '19-6.png', '23-6.png', '18-7.png', '15-7.png', '16-3.png', '21-5.png', '12-7.png', '20-3.png', '8-1.png', '13-1.png', '17-10.png', '22-7.png']","['19-2.png', '16-3.png', '39-3.png', '33-8.png', '40-9.png', '31-9.png', '26-10.png', '28-5.png', '37-7.png', '21-6.png', '35-6.png', '14-3.png', '23-5.png', '30-9.png', '38-3.png']","[1.7272727272727273, 1.7777777777777777, 1.7727272727272727, 1.736842105263158, 1.7391304347826086, 1.7222222222222223, 1.7333333333333334, 1.75, 1.7619047619047619, 1.75, 1.75, 1.75, 1.7692307692307692, 1.7647058823529411, 1.7272727272727273]"
20,"['21-9.png', '10-10.png', '19-1.png', '20-10.png', '17-8.png', '21-10.png', '23-1.png', '7-4.png', '18-6.png', '14-7.png', '24-2.png', '13-7.png', '16-1.png', '22-8.png', '15-2.png']","['35-7.png', '17-3.png', '32-4.png', '34-9.png', '29-3.png', '36-10.png', '39-7.png', '12-6.png', '30-8.png', '24-9.png', '40-7.png', '22-10.png', '27-8.png', '37-2.png', '25-3.png']","[1.6666666666666667, 1.7, 1.6842105263157894, 1.7, 1.7058823529411764, 1.7142857142857142, 1.6956521739130435, 1.7142857142857142, 1.6666666666666667, 1.7142857142857142, 1.6666666666666667, 1.6923076923076923, 1.6875, 1.6818181818181819, 1.6666666666666667]"
21,"['17-1.png', '9-4.png', '22-9.png', '6-3.png', '24-7.png', '16-8.png', '11-7.png', '8-7.png', '21-10.png', '23-1.png', '13-6.png', '14-6.png', '12-9.png', '19-5.png', '20-9.png']","['28-1.png', '15-4.png', '36-10.png', '10-2.png', '39-1.png', '26-4.png', '18-2.png', '13-10.png', '34-3.png', '38-10.png', '21-2.png', '23-7.png', '20-10.png', '31-6.png', '33-10.png']","[1.6470588235294117, 1.6666666666666667, 1.6363636363636365, 1.6666666666666667, 1.625, 1.625, 1.6363636363636365, 1.625, 1.619047619047619, 1.6521739130434783, 1.6153846153846154, 1.6428571428571428, 1.6666666666666667, 1.631578947368421, 1.65]"
22,"['21-5.png', '10-6.png', '14-4.png', '20-2.png', '7-4.png', '12-7.png', '18-8.png', '22-1.png', '15-6.png', '25-8.png', '19-1.png', '17-1.png', '24-8.png', '23-10.png', '23-3.png']","['33-5.png', '16-5.png', '22-2.png', '32-4.png', '11-3.png', '19-10.png', '29-10.png', '35-7.png', '24-4.png', '40-7.png', '30-8.png', '27-10.png', '38-5.png', '36-2.png', '37-3.png']","[1.5714285714285714, 1.6, 1.5714285714285714, 1.6, 1.5714285714285714, 1.5833333333333333, 1.6111111111111112, 1.5909090909090908, 1.6, 1.6, 1.5789473684210527, 1.588235294117647, 1.5833333333333333, 1.565217391304348, 1.608695652173913]"
23,"['13-7.png', '11-7.png', '26-2.png', '21-7.png', '24-3.png', '25-5.png', '18-9.png', '17-1.png', '16-1.png', '9-7.png', '19-4.png', '23-10.png', '20-1.png', '15-2.png', '22-10.png']","['20-7.png', '17-6.png', '40-7.png', '32-10.png', '37-4.png', '39-4.png', '28-6.png', '26-5.png', '25-6.png', '14-3.png', '29-9.png', '35-3.png', '31-3.png', '23-6.png', '34-1.png']","[1.5384615384615385, 1.5454545454545454, 1.5384615384615385, 1.5238095238095237, 1.5416666666666667, 1.56, 1.5555555555555556, 1.5294117647058822, 1.5625, 1.5555555555555556, 1.5263157894736843, 1.5217391304347827, 1.55, 1.5333333333333334, 1.5454545454545454]"
24,"['10-7.png', '16-6.png', '18-8.png', '6-3.png', '25-5.png', '24-7.png', '26-8.png', '22-9.png', '14-5.png', '12-6.png', '25-10.png', '8-3.png', '23-7.png', '27-2.png', '20-1.png']","['15-2.png', '24-1.png', '27-2.png', '9-6.png', '38-9.png', '36-1.png', '39-2.png', '33-7.png', '21-8.png', '18-1.png', '37-3.png', '12-4.png', '34-2.png', '40-9.png', '30-5.png']","[1.5, 1.5, 1.5, 1.5, 1.52, 1.5, 1.5, 1.5, 1.5, 1.5, 1.48, 1.5, 1.4782608695652173, 1.4814814814814814, 1.5]"
25,"['21-5.png', '18-7.png', '20-7.png', '19-8.png', '26-4.png', '22-9.png', '25-8.png', '16-1.png', '24-1.png', '13-4.png', '15-3.png', '9-5.png', '27-6.png', '17-3.png', '11-3.png']","['31-8.png', '26-4.png', '29-10.png', '28-1.png', '38-8.png', '32-5.png', '36-10.png', '23-6.png', '35-10.png', '19-8.png', '22-2.png', '13-1.png', '39-9.png', '25-1.png', '16-8.png']","[1.4761904761904763, 1.4444444444444444, 1.45, 1.4736842105263157, 1.4615384615384615, 1.4545454545454546, 1.44, 1.4375, 1.4583333333333333, 1.4615384615384615, 1.4666666666666666, 1.4444444444444444, 1.4444444444444444, 1.4705882352941178, 1.4545454545454546]"
26,"['12-5.png', '14-4.png', '24-1.png', '23-3.png', '15-1.png', '7-9.png', '28-3.png', '27-6.png', '19-2.png', '26-3.png', '22-8.png', '21-8.png', '17-6.png', '20-1.png', '25-3.png']","['17-8.png', '20-8.png', '34-4.png', '33-4.png', '21-10.png', '10-10.png', '40-4.png', '38-2.png', '27-10.png', '37-5.png', '31-1.png', '30-7.png', '24-5.png', '28-3.png', '35-5.png']","[1.4166666666666667, 1.4285714285714286, 1.4166666666666667, 1.434782608695652, 1.4, 1.4285714285714286, 1.4285714285714286, 1.4074074074074074, 1.4210526315789473, 1.4230769230769231, 1.4090909090909092, 1.4285714285714286, 1.411764705882353, 1.4, 1.4]"
27,"['18-1.png', '26-10.png', '13-3.png', '21-10.png', '22-2.png', '8-8.png', '11-7.png', '28-1.png', '10-9.png', '27-8.png', '16-8.png', '23-7.png', '24-5.png', '29-10.png', '19-1.png']","['25-2.png', '36-1.png', '18-5.png', '29-9.png', '30-9.png', '11-8.png', '15-10.png', '39-5.png', '14-10.png', '37-5.png', '22-2.png', '32-10.png', '33-10.png', '40-4.png', '26-10.png']","[1.3888888888888888, 1.3846153846153846, 1.3846153846153846, 1.380952380952381, 1.3636363636363635, 1.375, 1.3636363636363635, 1.3928571428571428, 1.4, 1.3703703703703705, 1.375, 1.391304347826087, 1.375, 1.3793103448275863, 1.368421052631579]"
28,"['18-9.png', '25-9.png', '23-2.png', '20-9.png', '27-7.png', '14-1.png', '17-2.png', '29-9.png', '15-7.png', '12-8.png', '26-10.png', '30-5.png', '21-9.png', '28-10.png', '24-5.png']","['24-9.png', '34-10.png', '31-7.png', '27-10.png', '36-7.png', '19-2.png', '23-7.png', '39-10.png', '20-10.png', '16-4.png', '35-6.png', '40-5.png', '28-9.png', '38-7.png', '32-10.png']","[1.3333333333333333, 1.36, 1.3478260869565217, 1.35, 1.3333333333333333, 1.3571428571428572, 1.3529411764705883, 1.3448275862068966, 1.3333333333333333, 1.3333333333333333, 1.3461538461538463, 1.3333333333333333, 1.3333333333333333, 1.3571428571428572, 1.3333333333333333]"
29,"['20-6.png', '6-5.png', '29-5.png', '19-4.png', '27-6.png', '13-8.png', '26-9.png', '23-7.png', '22-8.png', '9-10.png', '16-8.png', '25-5.png', '28-10.png', '30-4.png', '10-8.png']","['26-2.png', '8-1.png', '38-3.png', '25-7.png', '35-9.png', '17-3.png', '34-7.png', '30-8.png', '29-7.png', '12-8.png', '21-5.png', '33-5.png', '37-7.png', '39-9.png', '13-9.png']","[1.3, 1.3333333333333333, 1.3103448275862069, 1.3157894736842106, 1.2962962962962963, 1.3076923076923077, 1.3076923076923077, 1.3043478260869565, 1.3181818181818181, 1.3333333333333333, 1.3125, 1.32, 1.3214285714285714, 1.3, 1.3]"
30,"['21-3.png', '31-7.png', '29-7.png', '14-4.png', '30-3.png', '26-4.png', '28-7.png', '17-1.png', '11-5.png', '7-1.png', '18-6.png', '15-2.png', '24-6.png', '25-10.png', '22-8.png']","['27-6.png', '40-2.png', '37-3.png', '18-2.png', '38-9.png', '33-5.png', '36-3.png', '22-6.png', '14-8.png', '9-2.png', '23-9.png', '19-7.png', '31-5.png', '32-10.png', '28-4.png']","[1.2857142857142858, 1.2903225806451613, 1.2758620689655173, 1.2857142857142858, 1.2666666666666666, 1.2692307692307692, 1.2857142857142858, 1.2941176470588236, 1.2727272727272727, 1.2857142857142858, 1.2777777777777777, 1.2666666666666666, 1.2916666666666667, 1.28, 1.2727272727272727]"
31,"['19-8.png', '25-6.png', '8-6.png', '27-9.png', '23-5.png', '16-4.png', '12-3.png', '32-9.png', '31-3.png', '21-3.png', '17-7.png', '20-5.png', '24-6.png', '28-1.png', '29-8.png']","['24-4.png', '31-8.png', '10-4.png', '34-3.png', '29-1.png', '20-9.png', '15-9.png', '40-6.png', '39-3.png', '26-6.png', '21-2.png', '25-5.png', '30-7.png', '35-6.png', '36-9.png']","[1.263157894736842, 1.24, 1.25, 1.2592592592592593, 1.2608695652173914, 1.25, 1.25, 1.25, 1.2580645161290323, 1.2380952380952381, 1.2352941176470589, 1.25, 1.25, 1.25, 1.2413793103448276]"
32,"['30-3.png', '22-4.png', '28-3.png', '24-1.png', '9-9.png', '18-10.png', '33-8.png', '26-9.png', '31-10.png', '14-2.png', '13-2.png', '23-7.png', '19-9.png', '32-7.png', '27-8.png']","['37-8.png', '27-9.png', '34-10.png', '29-2.png', '11-4.png', '22-6.png', '40-7.png', '32-5.png', '38-2.png', '17-5.png', '16-8.png', '28-2.png', '23-2.png', '39-2.png', '33-2.png']","[1.2333333333333334, 1.2272727272727273, 1.2142857142857142, 1.2083333333333333, 1.2222222222222223, 1.2222222222222223, 1.2121212121212122, 1.2307692307692308, 1.2258064516129032, 1.2142857142857142, 1.2307692307692308, 1.2173913043478262, 1.2105263157894737, 1.21875, 1.2222222222222223]"
33,"['11-10.png', '25-9.png', '10-4.png', '32-8.png', '15-7.png', '21-5.png', '16-10.png', '33-10.png', '27-6.png', '31-1.png', '22-1.png', '20-2.png', '30-10.png', '26-6.png', '29-1.png']","['13-8.png', '30-3.png', '12-10.png', '38-10.png', '18-6.png', '25-4.png', '19-9.png', '39-2.png', '32-3.png', '37-4.png', '26-3.png', '24-6.png', '36-2.png', '31-5.png', '35-2.png']","[1.1818181818181819, 1.2, 1.2, 1.1875, 1.2, 1.1904761904761905, 1.1875, 1.1818181818181819, 1.1851851851851851, 1.1935483870967742, 1.1818181818181819, 1.2, 1.2, 1.1923076923076923, 1.206896551724138]"
34,"['28-8.png', '25-2.png', '6-7.png', '17-8.png', '29-2.png', '19-3.png', '23-6.png', '18-5.png', '32-10.png', '30-1.png', '31-4.png', '26-7.png', '24-5.png', '34-8.png', '12-6.png']","['33-10.png', '29-5.png', '7-2.png', '20-2.png', '34-5.png', '22-2.png', '27-4.png', '21-7.png', '37-3.png', '35-8.png', '36-2.png', '30-1.png', '28-3.png', '40-4.png', '14-8.png']","[1.1785714285714286, 1.16, 1.1666666666666667, 1.1764705882352942, 1.1724137931034482, 1.1578947368421053, 1.173913043478261, 1.1666666666666667, 1.15625, 1.1666666666666667, 1.1612903225806452, 1.1538461538461537, 1.1666666666666667, 1.1764705882352942, 1.1666666666666667]"
35,"['22-2.png', '15-1.png', '14-6.png', '7-4.png', '33-9.png', '34-9.png', '29-9.png', '27-10.png', '23-5.png', '21-8.png', '20-2.png', '35-8.png', '28-1.png', '13-3.png', '30-5.png']","['25-3.png', '17-1.png', '16-9.png', '8-8.png', '38-7.png', '39-8.png', '33-8.png', '31-8.png', '26-7.png', '24-7.png', '23-4.png', '40-3.png', '32-2.png', '15-5.png', '34-4.png']","[1.1363636363636365, 1.1333333333333333, 1.1428571428571428, 1.1428571428571428, 1.1515151515151516, 1.1470588235294117, 1.1379310344827587, 1.1481481481481481, 1.1304347826086956, 1.1428571428571428, 1.15, 1.1428571428571428, 1.1428571428571428, 1.1538461538461537, 1.1333333333333333]"
36,"['8-10.png', '24-7.png', '27-4.png', '34-9.png', '33-7.png', '26-10.png', '17-7.png', '16-5.png', '18-2.png', '25-6.png', '35-2.png', '9-4.png', '36-9.png', '31-1.png', '32-4.png']","['9-7.png', '27-9.png', '30-2.png', '38-5.png', '37-10.png', '29-9.png', '19-4.png', '18-8.png', '20-7.png', '28-10.png', '39-10.png', '10-7.png', '40-7.png', '35-5.png', '36-8.png']","[1.125, 1.125, 1.1111111111111112, 1.1176470588235294, 1.121212121212121, 1.1153846153846154, 1.1176470588235294, 1.125, 1.1111111111111112, 1.12, 1.1142857142857143, 1.1111111111111112, 1.1111111111111112, 1.1290322580645162, 1.125]"
37,"['29-5.png', '22-9.png', '33-2.png', '30-6.png', '32-7.png', '34-6.png', '20-2.png', '28-6.png', '23-8.png', '35-4.png', '31-5.png', '21-5.png', '10-9.png', '19-9.png', '11-1.png']","['32-8.png', '24-9.png', '36-5.png', '33-6.png', '35-5.png', '37-10.png', '22-9.png', '31-4.png', '25-6.png', '38-1.png', '34-6.png', '23-1.png', '11-4.png', '21-5.png', '12-2.png']","[1.103448275862069, 1.0909090909090908, 1.0909090909090908, 1.1, 1.09375, 1.088235294117647, 1.1, 1.1071428571428572, 1.0869565217391304, 1.0857142857142856, 1.096774193548387, 1.0952380952380953, 1.1, 1.105263157894737, 1.0909090909090908]"
38,"['15-6.png', '36-9.png', '30-4.png', '24-6.png', '28-9.png', '29-1.png', '25-9.png', '37-1.png', '27-2.png', '13-8.png', '31-10.png', '14-3.png', '26-5.png', '12-3.png', '32-2.png']","['16-3.png', '39-2.png', '32-10.png', '26-10.png', '30-4.png', '31-7.png', '27-7.png', '40-3.png', '29-7.png', '14-5.png', '33-1.png', '15-1.png', '28-1.png', '13-3.png', '34-4.png']","[1.0666666666666667, 1.0833333333333333, 1.0666666666666667, 1.0833333333333333, 1.0714285714285714, 1.0689655172413792, 1.08, 1.0810810810810811, 1.0740740740740742, 1.0769230769230769, 1.064516129032258, 1.0714285714285714, 1.0769230769230769, 1.0833333333333333, 1.0625]"
39,"['20-1.png', '18-10.png', '36-5.png', '21-5.png', '22-9.png', '19-6.png', '16-10.png', '38-6.png', '37-10.png', '33-9.png', '17-4.png', '24-7.png', '34-8.png', '23-10.png', '35-10.png']","['21-2.png', '19-8.png', '38-7.png', '22-1.png', '23-1.png', '20-9.png', '17-3.png', '40-6.png', '39-7.png', '35-10.png', '18-6.png', '25-2.png', '36-4.png', '24-2.png', '37-8.png']","[1.05, 1.0555555555555556, 1.0555555555555556, 1.0476190476190477, 1.0454545454545454, 1.0526315789473684, 1.0625, 1.0526315789473684, 1.054054054054054, 1.0606060606060606, 1.0588235294117647, 1.0416666666666667, 1.0588235294117647, 1.0434782608695652, 1.0571428571428572]"
40,"['30-1.png', '28-9.png', '27-9.png', '38-2.png', '25-5.png', '31-2.png', '33-10.png', '32-9.png', '39-1.png', '26-5.png', '34-3.png', '36-1.png', '37-3.png', '29-3.png', '35-5.png']","['31-2.png', '29-1.png', '28-7.png', '39-1.png', '26-5.png', '32-4.png', '34-9.png', '33-6.png', '40-5.png', '27-8.png', '35-3.png', '37-6.png', '38-9.png', '30-9.png', '36-9.png']","[1.0333333333333334, 1.0357142857142858, 1.037037037037037, 1.0263157894736843, 1.04, 1.032258064516129, 1.0303030303030303, 1.03125, 1.0256410256410255, 1.0384615384615385, 1.0294117647058822, 1.0277777777777777, 1.027027027027027, 1.0344827586206897, 1.0285714285714285]"
